Sample.ID,Study.ID,DOI.primary,DOI.secondary,LeadAuthor.primary,LeadAuthor.secondary,PublicationYear,Country,Region,SiteName,Block.Rep,GPS.Lat,GPS.Long,Study.context,SampleDepth.min,SampleDepth.max,Clay.pct,Silt.pct,Sand.pct,TexturalClass,Soil.pH,CEC,SOC.pct,Soil.TotalCd,TotalCd.method,Soil.AvailCd1,Soil.AvailCd1.method,Soil.AvailCd2,Soil.AvailCd2.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.Cd.type,WholeBeanCd,NibCd,ShellCd,LeafCd,AvailCd.N,AvailCd.SD,TotalCd.N,TotalCd.SD,WholeBeanCd.N,WholeBeanCd.SD,Subset,Soil.Cd.YN,Bean.Cd.YN,LeafBeaf.Cd.YN
65,2,https://doi.org/10.1016/j.scitotenv.2018.08.327,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,13,c,,,Field study,0,15,,,,,6.43,22.02,2.62,0.17,Aqua regia,,,,,,,,,,,,,Acid,0.09,,,,,,,,,,Soil and bean,Y,Y,
66,2,https://doi.org/10.1016/j.scitotenv.2018.08.328,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,13,d,,,Field study,0,15,,,,,5.91,20.59,3.22,0.3,Aqua regia,,,,,,,,,,,,,Acid,0.15,,,,,,,,,,Soil and bean,Y,Y,
67,2,https://doi.org/10.1016/j.scitotenv.2018.08.329,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,14,a,,,Field study,0,15,,,,,6.08,24.32,2.32,0.26,Aqua regia,,,,,,,,,,,,,Acid,0.24,,,,,,,,,,Soil and bean,Y,Y,
68,2,https://doi.org/10.1016/j.scitotenv.2018.08.330,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,14,b,,,Field study,0,15,,,,,6.07,30.09,5.32,0.58,Aqua regia,,,,,,,,,,,,,Acid,0.31,,,,,,,,,,Soil and bean,Y,Y,
69,2,https://doi.org/10.1016/j.scitotenv.2018.08.331,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,14,c,,,Field study,0,15,,,,,5.91,19.75,2.9,0.24,Aqua regia,,,,,,,,,,,,,Acid,0.27,,,,,,,,,,Soil and bean,Y,Y,
70,2,https://doi.org/10.1016/j.scitotenv.2018.08.332,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,15,a,,,Field study,0,15,,,,,7.07,29.26,1.27,0.28,Aqua regia,,,,,,,,,,,,,Acid,0.43,,,,,,,,,,Soil and bean,Y,Y,
71,2,https://doi.org/10.1016/j.scitotenv.2018.08.333,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,15,b,,,Field study,0,15,,,,,7.5,32.04,1.44,0.36,Aqua regia,,,,,,,,,,,,,Acid,0.48,,,,,,,,,,Soil and bean,Y,Y,
72,2,https://doi.org/10.1016/j.scitotenv.2018.08.334,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,15,c,,,Field study,0,15,,,,,7.53,30.07,1.31,0.27,Aqua regia,,,,,,,,,,,,,Acid,0.52,,,,,,,,,,Soil and bean,Y,Y,
73,2,https://doi.org/10.1016/j.scitotenv.2018.08.335,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,16,a,,,Field study,0,15,,,,,7.06,42.42,1.91,0.53,Aqua regia,,,,,,,,,,,,,Acid,0.82,,,,,,,,,,Soil and bean,Y,Y,
74,2,https://doi.org/10.1016/j.scitotenv.2018.08.336,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,16,b,,,Field study,0,15,,,,,6.94,39.77,1.79,0.51,Aqua regia,,,,,,,,,,,,,Acid,0.6,,,,,,,,,,Soil and bean,Y,Y,
75,2,https://doi.org/10.1016/j.scitotenv.2018.08.337,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,16,c,,,Field study,0,15,,,,,6.64,42.04,2.2,0.54,Aqua regia,,,,,,,,,,,,,Acid,0.99,,,,,,,,,,Soil and bean,Y,Y,
76,2,https://doi.org/10.1016/j.scitotenv.2018.08.338,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,17,a,,,Field study,0,15,,,,,6.37,34.23,3.13,0.49,Aqua regia,,,,,,,,,,,,,Acid,0.63,,,,,,,,,,Soil and bean,Y,Y,
77,2,https://doi.org/10.1016/j.scitotenv.2018.08.339,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,17,b,,,Field study,0,15,,,,,6.67,37.74,3.2,0.65,Aqua regia,,,,,,,,,,,,,Acid,0.76,,,,,,,,,,Soil and bean,Y,Y,
